date,hospitalized_2020,hospitalized_2021
1-Apr,1916,2147
2-Apr,2176,2054
3-Apr,2285,2023
4-Apr,2383,2005
5-Apr,2509,1989
6-Apr,2611,2021
7-Apr,2714,1960
8-Apr,2825,1859
9-Apr,2897,1854
10-Apr,2846,1799
11-Apr,2917,1783
12-Apr,3015,1839
13-Apr,3124,1884
14-Apr,3171,1865
15-Apr,3141,1833
16-Apr,3180,1801
17-Apr,3221,1783
18-Apr,3196,1779
19-Apr,3257,1796
20-Apr,3365,1774
21-Apr,3357,1752
22-Apr,3343,1757
23-Apr,3344,1765
24-Apr,3343,1717
25-Apr,3324,1730
26-Apr,3372,1776
27-Apr,3455,1755
28-Apr,3495,1715
29-Apr,3497,1711
30-Apr,3428,1681
